,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
116,116,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",JUNTOS POR EL CAMBIO,2.88,0.14,0.13,0.91,51.45,21.65,0.34,0.02,0.35,0.53,0.19,0.88,0.18,0.08,20.28,5308.0,265.0,236.0,1675.0,94681.0,39833.0,630.0,34.0,637.0,975.0,348.0,1614.0,323.0,143.0,37321.0,70.85,272157,192819,3.43,0.18,0.96,6610,339
117,117,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",JUNTOS POR EL CAMBIO,3.64,0.23,0.18,0.75,34.3,26.37,0.42,0.08,0.37,0.31,0.22,0.64,0.21,0.07,32.22,5695.0,367.0,276.0,1181.0,53720.0,41298.0,650.0,127.0,575.0,479.0,351.0,1002.0,326.0,111.0,50464.0,68.87,244175,168156,5.85,0.16,0.85,9845,267
120,120,BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",UNION POR LA PATRIA,2.3,0.05,0.24,0.92,22.79,27.87,0.45,0.27,0.34,0.34,0.19,1.07,0.06,0.2,42.91,882.0,19.0,93.0,353.0,8756.0,10708.0,171.0,103.0,131.0,130.0,74.0,410.0,24.0,78.0,16484.0,64.82,65158,42233,7.88,0.28,0.87,3330,120
124,124,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",UNION POR LA PATRIA,3.66,0.08,0.2,0.86,31.23,28.2,0.37,0.06,0.41,0.57,0.21,0.64,0.15,0.07,33.28,7576.0,175.0,421.0,1786.0,64631.0,58356.0,770.0,133.0,845.0,1174.0,437.0,1321.0,311.0,150.0,68871.0,68.36,330245,225763,7.3,0.18,0.85,16489,396
129,129,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",JUNTOS POR EL CAMBIO,4.16,0.1,0.21,1.03,35.4,24.27,0.42,0.0,0.5,0.45,0.24,1.16,0.21,0.11,31.74,7692.0,188.0,390.0,1904.0,65450.0,44882.0,769.0,9.0,917.0,840.0,449.0,2150.0,381.0,197.0,58683.0,68.82,284360,195706,4.39,0.15,0.98,8587,302
131,131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",JUNTOS POR EL CAMBIO,3.86,0.17,0.14,1.26,50.58,20.18,0.44,0.04,0.37,0.25,0.17,0.89,0.17,0.08,21.4,6142.0,276.0,230.0,2005.0,80416.0,32086.0,694.0,71.0,587.0,390.0,276.0,1410.0,267.0,127.0,34022.0,71.88,231259,166220,3.15,0.14,1.05,5232,237
134,134,BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",UNION POR LA PATRIA,2.27,0.53,0.18,1.01,30.21,27.17,0.31,0.24,0.38,0.66,0.24,0.88,0.18,0.01,35.75,1413.0,327.0,114.0,628.0,18817.0,16919.0,193.0,149.0,235.0,412.0,147.0,548.0,110.0,7.0,22263.0,67.56,101288,68433,8.34,0.08,0.58,5705,52
191,191,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.26,0.0,0.19,0.92,47.63,19.61,0.47,0.16,0.4,0.25,0.28,1.32,0.0,0.18,24.33,4501.0,4.0,204.0,970.0,50301.0,20714.0,493.0,170.0,423.0,263.0,292.0,1389.0,2.0,185.0,25697.0,61.64,176156,108586,1.74,0.05,0.96,1888,53
192,192,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.25,0.0,0.2,1.07,45.63,19.39,0.54,0.19,0.44,0.23,0.28,1.68,0.0,0.14,24.96,5264.0,0.0,201.0,1074.0,45772.0,19447.0,541.0,186.0,442.0,231.0,282.0,1683.0,2.0,136.0,25040.0,70.28,147141,103409,1.91,0.06,1.03,1977,65
193,193,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.91,0.04,0.15,0.94,49.67,17.61,0.46,0.18,0.37,0.19,0.27,1.38,0.01,0.14,23.69,5956.0,43.0,181.0,1141.0,60284.0,21371.0,558.0,220.0,449.0,227.0,333.0,1671.0,11.0,174.0,28760.0,72.85,171456,124907,1.73,0.04,1.05,2160,52
194,194,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.67,0.0,0.15,1.02,51.62,16.42,0.38,0.14,0.37,0.18,0.25,1.41,0.0,0.1,23.28,6219.0,5.0,196.0,1358.0,68716.0,21857.0,509.0,184.0,495.0,241.0,335.0,1871.0,3.0,131.0,30993.0,71.63,190927,136763,1.66,0.04,0.97,2270,57
195,195,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,3.66,0.04,0.1,1.0,62.17,13.94,0.29,0.1,0.24,0.11,0.17,0.88,0.0,0.08,17.22,5393.0,61.0,149.0,1470.0,91581.0,20535.0,420.0,147.0,348.0,161.0,255.0,1298.0,7.0,115.0,25370.0,69.54,216742,150732,1.49,0.04,0.74,2249,56
196,196,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,3.31,0.0,0.1,0.89,62.41,13.63,0.25,0.08,0.23,0.13,0.17,0.86,0.0,0.07,17.87,4525.0,4.0,138.0,1218.0,85227.0,18612.0,338.0,109.0,309.0,183.0,229.0,1180.0,1.0,93.0,24404.0,67.29,207178,139408,1.35,0.03,0.65,1882,48
197,197,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.02,0.02,0.15,1.02,45.14,15.9,0.46,0.19,0.34,0.21,0.35,1.42,0.0,0.13,28.66,5941.0,15.0,149.0,1002.0,44547.0,15690.0,450.0,189.0,331.0,212.0,341.0,1400.0,4.0,126.0,28283.0,61.97,163696,101448,1.62,0.07,1.04,1641,73
198,198,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,2.78,0.0,0.09,0.75,66.42,13.98,0.21,0.08,0.18,0.13,0.13,0.75,0.0,0.07,14.44,2478.0,1.0,82.0,670.0,59254.0,12473.0,185.0,70.0,164.0,114.0,116.0,665.0,1.0,58.0,12883.0,65.92,138027,90983,1.28,0.05,0.62,1163,45
199,199,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.38,0.0,0.19,1.01,42.93,20.06,0.54,0.18,0.47,0.24,0.36,1.49,0.0,0.16,26.99,5228.0,1.0,182.0,984.0,41754.0,19510.0,521.0,174.0,459.0,238.0,348.0,1445.0,1.0,154.0,26251.0,64.38,155295,99982,1.62,0.05,1.06,1621,52
200,200,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.35,0.01,0.24,0.93,38.12,22.29,0.58,0.26,0.52,0.41,0.35,1.59,0.0,0.2,29.15,5904.0,13.0,268.0,1030.0,42053.0,24587.0,636.0,284.0,577.0,457.0,381.0,1755.0,5.0,216.0,32161.0,63.05,180518,113815,1.91,0.05,1.11,2170,56
201,201,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.96,0.01,0.17,1.05,44.71,16.71,0.53,0.17,0.39,0.21,0.32,1.48,0.01,0.1,28.17,5849.0,8.0,163.0,1027.0,43863.0,16393.0,522.0,165.0,385.0,210.0,317.0,1454.0,7.0,103.0,27640.0,65.58,153617,100748,1.61,0.06,0.95,1626,62
202,202,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.11,0.0,0.14,0.96,52.35,14.51,0.44,0.14,0.31,0.15,0.23,1.29,0.01,0.1,24.27,5687.0,4.0,154.0,1069.0,58260.0,16146.0,485.0,152.0,341.0,166.0,261.0,1432.0,8.0,109.0,27006.0,71.65,159278,114119,1.6,0.06,0.83,1825,70
203,203,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.06,0.0,0.17,1.04,44.17,20.62,0.48,0.18,0.43,0.22,0.3,1.44,0.0,0.16,25.73,5914.0,1.0,196.0,1213.0,51624.0,24100.0,562.0,212.0,499.0,261.0,356.0,1678.0,3.0,183.0,30066.0,68.98,174192,120165,1.68,0.07,1.0,2017,81
204,204,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.77,0.0,0.27,0.75,32.61,28.06,0.5,0.23,0.51,0.57,0.31,1.63,0.0,0.28,29.49,4340.0,4.0,246.0,686.0,29640.0,25504.0,458.0,213.0,468.0,517.0,281.0,1484.0,1.0,251.0,26806.0,64.11,146649,94010,1.97,0.11,1.23,1855,101
205,205,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.91,0.0,0.21,0.99,41.17,22.59,0.53,0.22,0.51,0.28,0.33,1.86,0.01,0.2,26.19,4815.0,3.0,206.0,974.0,40388.0,22158.0,520.0,216.0,496.0,273.0,327.0,1828.0,5.0,196.0,25694.0,68.55,147351,101010,1.78,0.04,1.06,1799,44
